timestamp,tagger,tagged
13:07:04,nitin,loki
13:07:06,marudhu,shru
13:07:06,nikki,nitin
13:07:10,loki,nikki
13:07:11,nitin,loki
13:07:15,nitin,shru
13:07:17,nikki,marudhu
13:07:20,loki,nikki
13:07:25,marudhu,loki
13:07:29,shru,nikki
13:07:30,shru,loki
13:07:33,nitin,shru
13:07:35,nikki,nitin
13:07:37,loki,nikki
13:07:40,loki,nitin
13:07:45,nikki,nitin
13:07:51,nikki,nitin
13:07:56,nikki,shru
13:07:57,nitin,nikki
13:08:01,shru,nitin
13:08:02,loki,nikki
13:08:03,loki,marudhu
13:08:08,nikki,shru
13:08:09,marudhu,loki
13:08:14,nikki,marudhu
13:08:18,loki,nitin
13:08:19,shru,loki
13:08:20,marudhu,nikki
13:08:24,shru,loki
13:08:25,nikki,marudhu
13:08:29,nikki,nitin
13:08:30,loki,shru
13:08:30,nikki,loki
13:08:35,nitin,nikki
13:08:36,marudhu,nitin
13:08:38,loki,shru
13:08:40,marudhu,loki
13:08:42,nikki,marudhu
13:08:45,nitin,loki
13:08:47,nikki,nitin
13:08:50,shru,nikki
13:08:55,nikki,loki
13:08:55,nikki,shru
13:08:56,nitin,marudhu
13:09:01,loki,nikki
13:09:01,loki,shru
13:09:02,marudhu,nitin
13:09:08,marudhu,nitin
13:09:11,shru,loki
13:09:13,nikki,nitin
13:09:15,marudhu,nikki
13:09:17,shru,loki
13:09:19,marudhu,nitin
13:09:21,nikki,marudhu
13:09:28,nitin,shru
13:09:30,nikki,nitin
13:09:35,nikki,shru
13:09:36,nikki,nitin
13:09:37,nikki,loki
13:09:42,nikki,nitin
13:09:43,nikki,loki
13:09:50,nikki,loki
13:09:54,nitin,nikki
13:09:56,loki,shru
13:09:56,marudhu,loki
13:10:02,marudhu,loki
13:10:06,nikki,shru
13:10:08,nikki,nitin
13:10:12,nikki,loki
13:10:13,marudhu,nitin
13:10:13,nitin,nikki
13:10:18,nitin,shru
13:10:19,nikki,marudhu
13:10:21,nikki,nitin
13:10:25,loki,marudhu
13:10:26,nikki,shru
13:10:28,loki,nitin
13:10:31,shru,nikki
13:10:33,marudhu,nitin
13:10:37,nikki,shru
13:10:38,nitin,marudhu
13:10:42,loki,nitin
13:10:45,nikki,shru
13:10:50,marudhu,shru
13:10:55,loki,nitin
13:10:59,nikki,loki
13:11:00,nikki,shru
13:11:05,nitin,marudhu
13:11:06,loki,nikki
13:11:11,nikki,loki
13:11:12,nitin,shru
13:11:13,marudhu,nitin
13:11:18,loki,nikki
13:11:18,marudhu,loki
13:11:20,marudhu,nitin
13:11:25,marudhu,shru
13:11:27,nikki,nitin
13:11:32,nikki,shru
13:11:33,nikki,nitin
13:11:35,loki,marudhu
13:11:40,loki,nikki
13:11:40,shru,loki
13:11:45,nikki,loki
13:11:45,nitin,marudhu
13:11:51,nitin,nikki
13:11:53,marudhu,nitin
13:11:54,marudhu,loki
13:11:58,nikki,marudhu
13:12:01,loki,shru
13:12:01,loki,nitin
13:12:03,nikki,marudhu
13:12:09,nikki,marudhu
13:12:10,nitin,loki
13:12:15,nikki,loki
13:12:20,nikki,loki
13:12:21,marudhu,nitin
13:12:23,shru,nikki
13:12:27,marudhu,nitin
13:12:28,marudhu,nikki
13:12:35,loki,nitin
13:12:37,nikki,loki
13:12:42,loki,nitin
13:12:42,nikki,shru
13:12:44,loki,nikki
13:12:49,nikki,loki
13:12:54,nikki,loki
13:12:56,shru,nitin
13:12:57,marudhu,shru
13:12:58,marudhu,nikki
13:13:01,loki,marudhu
13:13:02,nitin,shru
13:13:03,loki,nikki
13:13:04,nitin,loki
13:13:10,nitin,nikki
13:13:16,shru,loki
13:13:21,shru,nitin
13:13:22,marudhu,loki
13:13:25,nikki,shru
13:13:28,marudhu,loki
13:13:31,nitin,shru
13:13:33,nikki,nitin
13:13:33,loki,marudhu
13:13:38,loki,shru
13:13:39,nikki,nitin
13:13:42,marudhu,loki
13:13:48,loki,nitin
13:13:48,shru,loki
13:13:53,marudhu,shru
13:13:53,nikki,loki
13:13:57,nitin,nikki
13:13:58,loki,nitin
13:13:59,marudhu,loki
13:14:03,nitin,nikki
13:14:04,marudhu,nitin
13:14:13,loki,shru
13:14:14,nikki,loki
13:14:18,nikki,shru
13:14:18,nitin,marudhu
13:14:23,nikki,shru
13:14:25,marudhu,nitin
13:14:25,nitin,loki
13:14:30,shru,loki
13:14:33,marudhu,shru
13:14:39,shru,loki
13:14:49,marudhu,shru
13:14:51,nitin,nikki
13:14:58,marudhu,shru
13:14:58,nikki,loki
13:15:04,nitin,loki
13:15:06,nitin,nikki
13:15:15,shru,marudhu
13:15:18,nitin,shru
13:15:26,nikki,shru
13:15:31,loki,shru
13:15:33,nitin,loki
13:15:40,nikki,shru
13:15:46,shru,loki
13:15:51,nitin,loki
13:15:53,nikki,loki
13:15:56,nikki,nitin
13:15:58,shru,nikki
13:16:02,shru,nitin
13:16:04,marudhu,loki
13:16:09,loki,marudhu
13:16:09,marudhu,nikki
13:16:10,loki,marudhu
13:16:10,shru,loki
13:16:14,marudhu,nikki
13:16:15,shru,loki
13:16:18,nitin,shru
13:16:21,nitin,loki
13:16:24,nitin,nikki
13:16:26,loki,shru
13:16:29,nikki,nitin
13:16:31,marudhu,nikki
13:16:34,nitin,loki
13:16:39,loki,nitin
13:16:43,shru,loki
13:16:44,loki,nikki
13:16:45,shru,nitin
13:16:46,marudhu,loki
13:16:49,nikki,shru
13:16:51,nitin,nikki
13:16:56,nikki,nitin
13:16:57,loki,nikki
13:16:57,nikki,shru
13:17:00,marudhu,loki
13:17:05,marudhu,loki
13:17:05,nitin,marudhu
13:17:07,nikki,nitin
13:17:10,loki,shru
13:17:13,nikki,nitin
13:17:18,loki,shru
13:17:18,nitin,marudhu
13:17:22,nikki,loki
13:17:26,shru,nitin
13:17:28,nikki,loki
13:17:32,nitin,marudhu
13:17:33,shru,loki
13:17:38,nikki,loki
13:17:39,nitin,shru
13:17:42,nitin,nikki
13:17:44,loki,shru
13:17:46,marudhu,nitin
13:17:51,nikki,nitin
13:17:52,loki,nikki
13:17:54,loki,shru
13:17:57,nikki,loki
13:17:59,marudhu,nitin
13:18:00,marudhu,shru
13:18:03,nikki,loki
13:18:04,nitin,loki
13:18:07,nikki,shru
13:18:07,marudhu,nitin
13:18:12,nitin,shru
13:18:14,nikki,marudhu
13:18:19,nikki,shru
13:18:24,marudhu,shru
13:18:24,nikki,marudhu
13:18:29,nikki,shru
13:18:35,nikki,marudhu
13:18:39,nikki,shru
13:18:41,loki,marudhu
13:18:45,loki,shru
13:18:47,nikki,marudhu
13:18:50,nitin,loki
13:18:55,shru,nitin
13:18:56,nikki,marudhu
13:18:58,loki,shru
13:18:59,nikki,loki
13:19:02,marudhu,nitin
13:19:03,nikki,marudhu
13:19:04,loki,shru
13:19:08,nikki,nitin
13:19:09,loki,nikki
13:19:13,marudhu,loki
13:19:14,nitin,shru
13:19:17,nikki,nitin
13:19:21,nikki,marudhu
13:19:24,nitin,shru
13:19:28,marudhu,nikki
13:19:33,marudhu,shru
13:19:34,nikki,nitin
13:19:35,nikki,marudhu
